species	MGI	UniProtKB	gene	ID
MOUSE	2441805	Q3UVD5	Leucine-rich repeat-containing G-protein coupled receptor 6	Lgr6
MOUSE	1926810	Q6PFE7	Tomoregulin-1	Tmeff1
MOUSE	2176882	P58681	Toll-like receptor 7	Tlr7
MOUSE	2153816	Q8VIM6	Stereocilin	Strc
MOUSE	1861691	Q9JIA1	Leucine-rich glioma-inactivated protein 1	Lgi1
MOUSE	103294	Q61878	Bone marrow proteoglycan	Prg2
MOUSE	1858599	Q9JJZ5	Epidermal growth factor-like protein 6	Egfl6
MOUSE	104655	O55189	Ameloblastin	Ambn
MOUSE	1349164	O35988	Syndecan-4	Sdc4
MOUSE	1890616	Q6NZL8	"Signal peptide, CUB and EGF-like domain-containing protein 1"	Scube1
MOUSE	1918605	Q30D77	Collagen alpha-1(XXIV) chain	Col24a1
MOUSE	1309453	Q9Z315	U4/U6.U5 tri-snRNP-associated protein 1	Sart1
MOUSE	88455	P08122	Collagen alpha-2(IV) chain	Col4a2
MOUSE	95660	Q61592	Growth arrest-specific protein 6	Gas6
MOUSE	2443925	Q6P4U0	Thrombospondin type-1 domain-containing protein 7B	Thsd7b
MOUSE	2444277	Q5RKR3	Immunoglobulin superfamily containing leucine-rich repeat protein 2	Islr2
MOUSE	2448607	P83503	Nyctalopin	Nyx
MOUSE	93882	G3XA59	"MCG51019, isoform CRA_b"	Lrrc32
MOUSE	2672033	Q3UTY6	Thrombospondin type-1 domain-containing protein 4	Thsd4
MOUSE	2389142	P59900	EMILIN-3	Emilin3
MOUSE	3646425	Q8C013	Trophoblast glycoprotein-like	Tpbgl
MOUSE	109151	Q8CG19	Latent-transforming growth factor beta-binding protein 1	Ltbp1
MOUSE	3607710	Q8C160	Mesothelin-like protein	Mslnl
MOUSE	1277201	Q9R1N9	Collagen alpha-1(XIII) chain	Col13a1
MOUSE	1922228	Q0P5X1	Leucine-rich repeat and IQ domain-containing protein 1	Lrriq1
MOUSE	1340044	Q924X6	Low-density lipoprotein receptor-related protein 8	Lrp8
MOUSE	104694	P55066	Neurocan core protein	Ncan
MOUSE	88382	O88783	Coagulation factor V	F5
MOUSE	1095396	Q8BLX7	Collagen alpha-1(XVI) chain	Col16a1
MOUSE	88466	Q07643	Collagen alpha-2(IX) chain	Col9a2
MOUSE	1913565	Q8BUH8	Sentrin-specific protease 7	Senp7
MOUSE	1351629	Q9R1S3	GPI ethanolamine phosphate transferase 1	Pign
MOUSE	2442636	Q8C031	Leucine-rich repeat-containing protein 4C	Lrrc4c
MOUSE	3045353	E9Q287	Protein Adamts3	Adamts3
MOUSE	3647600	F7A4A7	Otogelin-like protein	Otogl
MOUSE	88459	Q04857	Collagen alpha-1(VI) chain	Col6a1
MOUSE	3045221	Q6QNU9	Toll-like receptor 12	Tlr12
MOUSE	99602	Q61282	Aggrecan core protein	Acan
MOUSE	2146663	Q8CG71	Prolyl 3-hydroxylase 2	Leprel1
MOUSE	1328364	P50608	Fibromodulin	Fmod
MOUSE	88158	P28653	Biglycan	Bgn
MOUSE	1858200	Q9JL95	Proteoglycan 3	Prg3
MOUSE	1313268	Q9Z0E2	Chordin	Chrd
MOUSE	2444885	Q6PFC5	"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2"	Lrit2
MOUSE	98864	A2ASS6	Titin	Ttn
MOUSE	2136886	Q99PI8	Reticulon-4 receptor	Rtn4r
MOUSE	98257	P30204	Macrophage scavenger receptor types I and II	Msr1
MOUSE	1919351	Q80V70	Multiple epidermal growth factor-like domains protein 6	Megf6
MOUSE	1925044	Q7TSK7	ADAMTS-like protein 2	Adamtsl2
MOUSE	1861735	Q9QYM9	Tomoregulin-2	Tmeff2
MOUSE	1929212	Q9JKC8	AP-3 complex subunit mu-1	Ap3m1
