species	MGI	UniProtKB	gene	ID
MOUSE	88276	Q02248	Catenin beta-1	Ctnnb1
MOUSE	1913389	Q9D1N4	Protein myomaker	Tmem8c
MOUSE	1096362	E9Q7X7	Protein Nrxn2	Nrxn2
MOUSE	107535	O54891	Galectin-6	Lgals6
MOUSE	88489	P19070	Complement receptor type 2	Cr2
MOUSE	88320	P08920	T-cell surface antigen CD2	Cd2
MOUSE	95500	P08508	Low affinity immunoglobulin gamma Fc region receptor III	Fcgr3
MOUSE	95498	P26151	High affinity immunoglobulin gamma Fc receptor I	Fcgr1
MOUSE	1891697	O08707	Atypical chemokine receptor 2	Ackr2
MOUSE	98911	Q9D132	Uroplakin-1a	Upk1a
MOUSE	1341902	Q9WUT7	C-C chemokine receptor type 9	Ccr9
MOUSE	1920423	Q8VHR0	Protocadherin 18	Pcdh18
MOUSE	2684924	E9PXF0	Protein Pcdh17	Pcdh17
MOUSE	99529	P41731	CD63 antigen	Cd63
MOUSE	97537	Q08481	Platelet endothelial cell adhesion molecule	Pecam1
