species	MGI	UniProtKB	gene	ID
MOUSE	109432	O08603	Retinoic acid early-inducible protein 1-beta	Raet1b
MOUSE	88451	P39061	Collagen alpha-1(XVIII) chain	Col18a1
MOUSE	2157522	Q810Y7	DPPA1	Dppa1
MOUSE	2685260	Q4ZJM7	Otolin-1	Otol1
MOUSE	1916052	Q5DTJ9	Myopalladin	Mypn
MOUSE	2443847	Q6V4S5	Protein sidekick-2	Sdk2
MOUSE	105980	P12960	Contactin-1	Cntn1
MOUSE	107540	P27811	Killer cell lectin-like receptor subfamily B member 1A	Klrb1a
MOUSE	88452	P28481	Collagen alpha-1(II) chain	Col2a1
MOUSE	107539	P27812	Killer cell lectin-like receptor subfamily B member 1B allele A	Klrb1b
MOUSE	1349163	Q64519	Syndecan-3	Sdc3
MOUSE	1343102	Q9Z2I4	Roundabout homolog 3	Robo3
MOUSE	98280	Q01102	P-selectin	Selp
MOUSE	103070	P01921	"H-2 class II histocompatibility antigen, A-D beta chain"	H2-Ab1
MOUSE	3618288	Q3V0I7	A kinase (PRKA) anchor protein 14	Akap14
MOUSE	109518	P35242	Pulmonary surfactant-associated protein A	Sftpa1
MOUSE	2663588	Q80XZ4	Interleukin-22 receptor subunit alpha-1	Il22ra1
MOUSE	1889800	Q9JIF9	Myotilin	Myot
MOUSE	103567	Q04683	C-X-C chemokine receptor type 5	Cxcr5
MOUSE	3522133	Q8VI21	C-type lectin domain family 2 member F	Clec2f
MOUSE	2180674	Q8BJS9	Protein Klra17	Klra17
MOUSE	3647514	Q0WXH6	MHC class Ib T9	Gm7030
MOUSE	1202390	Q8BQC3	Immunoglobulin superfamily DCC subclass member 3	Igdcc3
MOUSE	96885	Q01965	T-lymphocyte surface antigen Ly-9	Ly9
MOUSE	96924	P41317	Mannose-binding protein C	Mbl2
MOUSE	105968	Q6PAM1	Alpha-taxilin	Txlna
MOUSE	2180564	Q8C1C8	Paraneoplastic antigen Ma1 homolog	Pnma1
MOUSE	1932475	Q91Y57	Sialic acid-binding Ig-like lectin 12	Siglec12
MOUSE	98815	P16563	Cysteine-rich secretory protein 2	Crisp2
MOUSE	96923	P39039	Mannose-binding protein A	Mbl1
MOUSE	88058	Q01339	Beta-2-glycoprotein 1	Apoh
MOUSE	99605	O88507	Ciliary neurotrophic factor receptor subunit alpha	Cntfr
MOUSE	2153249	Q7TSN2	CMRF35-like molecule	Clm
MOUSE	1926387	Q32MD9	Cell adhesion molecule-related/down-regulated by oncogenes	Cdon
MOUSE	102552	Q03402	Cysteine-rich secretory protein 3	Crisp3
MOUSE	2443411	Q6SJQ0	CMRF35-like molecule 8	Cd300a
MOUSE	1914245	Q8VD24	Zinc finger CCHC domain-containing protein 18	Zcchc18
MOUSE	1289168	Q1ERP8	CMRF35-like molecule 9	Cd300lg
MOUSE	88465	Q05722	Collagen alpha-1(IX) chain	Col9a1
MOUSE	3809111	F6WTU6	Protein Gm11143	Gm11143
MOUSE	2676637	F6U8V3	Protein H2-M11 (Fragment)	H2-M11
MOUSE	2446249	Q3UJB9	Enhancer of mRNA-decapping protein 4	Edc4
MOUSE	104745	Q7TSK2	Seizure protein 6	Sez6
MOUSE	88082	P24721	Asialoglycoprotein receptor 2	Asgr2
MOUSE	1918990	Q8R007	Poliovirus receptor-related protein 4	Pvrl4
MOUSE	1276526	Q85ZW7	"Histocompatibility 2, M region locus 10.5"	H2-M10.5
