Ligand.ApprovedSymbol	ligand_mouse	Receptor.ApprovedSymbol	receptor_mouse
CDH1	Cdh1	PTPRM	Ptprm
CELA3B	Cela3b	CHRM3	Chrm3
CEL	Cel	CXCR4	Cxcr4
CFH	NA	ITGAM	Itgam
CFH	NA	SELL	Sell
CGA	Cga	FSHR	Fshr
CGA	Cga	LHCGR	Lhcgr
CGA	Cga	SIRPA	Sirpb1c
CGA	Cga	TSHR	Tshr
CGB8	Lhb	SIRPA	Sirpb1c
CGB	Lhb	LHCGR	Lhcgr
CGN	Cgn	F11R	F11r
CGN	Cgn	OCLN	Ocln
CGN	Cgn	TGFBR1	Tgfbr1
CGN	Cgn	TGFBR2	Tgfbr2
CHAD	Chad	ITGA2	Itga2
CHAD	Chad	ITGB1	Itgb1
CLCF1	Clcf1	CNTFR	Cntfr
CLCF1	Clcf1	CRLF1	Crlf1
CLCF1	Clcf1	IL6ST	Il6st
CLCF1	Clcf1	LIFR	Lifr
CLEC11A	Clec11a	KIT	Kit
CLEC3A	Clec3a	CLEC10A	NA
CLEC3A	Clec3a	CLEC2B	NA
CNTF	Cntf	CNTFR	Cntfr
CNTF	Cntf	IL6R	Il6ra
CNTF	Cntf	IL6ST	Il6st
CNTF	Cntf	LIFR	Lifr
CNTN2	Cntn2	CNTN1	Cntn1
CNTN2	Cntn2	CNTNAP2	Cntnap2
CNTN2	Cntn2	NRCAM	Nrcam
CNTN2	Cntn2	NRP1	Nrp1
CNTN4	Cntn4	PTPRG	Ptprg
COL11A1	Col11a1	DDR1	Ddr1
COL11A1	Col11a1	ITGA2	Itga2
COL11A1	Col11a1	ITGB1	Itgb1
COL14A1	Col14a1	CD44	Cd44
COL18A1	Col18a1	GPC1	Gpc1
COL18A1	Col18a1	GPC4	Gpc4
COL18A1	Col18a1	ITGA5	Itga5
COL18A1	Col18a1	ITGB1	Itgb1
COL18A1	Col18a1	KDR	Kdr
COL1A1	Col1a1	CD36	Cd36
COL1A1	Col1a1	CD44	Cd44
COL1A1	Col1a1	CD93	Cd93
COL1A1	Col1a1	DDR1	Ddr1
COL1A1	Col1a1	DDR2	Ddr2
COL1A1	Col1a1	FLT4	Flt4
COL1A1	Col1a1	ITGA1	Itga1
COL1A1	Col1a1	ITGA11	Itga11
COL1A1	Col1a1	ITGA2	Itga2
COL1A1	Col1a1	ITGA5	Itga5
COL1A1	Col1a1	ITGAV	Itgav
COL1A1	Col1a1	ITGB1	Itgb1
COL1A1	Col1a1	TMPRSS6	Tmprss6
COL1A2	Col1a2	CD36	Cd36
COL1A2	Col1a2	CD44	Cd44
COL1A2	Col1a2	CD93	Cd93
COL1A2	Col1a2	FLT4	Flt4
COL1A2	Col1a2	ITGA1	Itga1
COL1A2	Col1a2	ITGA11	Itga11
COL1A2	Col1a2	ITGA2	Itga2
COL1A2	Col1a2	ITGA2B	Itga2b
COL1A2	Col1a2	ITGAV	Itgav
COL1A2	Col1a2	ITGB1	Itgb1
COL1A2	Col1a2	ITGB3	Itgb3
COL2A1	Col2a1	DDR1	Ddr1
COL2A1	Col2a1	ITGA1	Itga1
COL2A1	Col2a1	ITGA10	Itga10
COL2A1	Col2a1	ITGA2	Itga2
COL2A1	Col2a1	ITGA2B	Itga2b
COL2A1	Col2a1	ITGB1	Itgb1
COL2A1	Col2a1	MAG	Mag
COL2A1	Col2a1	OR1E1	NA
COL2A1	Col2a1	TNFRSF10A	Tnfrsf10b
COL3A1	Col3a1	DDR1	Ddr1
COL3A1	Col3a1	DDR2	Ddr2
COL3A1	Col3a1	ITGA2	Itga2
COL3A1	Col3a1	ITGB1	Itgb1
COL3A1	Col3a1	MAG	Mag
COL4A1	Col4a1	CD47	Cd47
COL4A1	Col4a1	CD93	Cd93
COL4A1	Col4a1	ITGA1	Itga1
COL4A1	Col4a1	ITGA2	Itga2
COL4A1	Col4a1	ITGAV	Itgav
COL4A1	Col4a1	ITGB1	Itgb1
COL4A1	Col4a1	ITGB8	Itgb8
COL4A2	Col4a2	CD93	Cd93
COL4A3	Col4a3	CD47	Cd47
COL4A3	Col4a3	CD93	Cd93
COL4A3	Col4a3	ITGA1	Itga1
COL4A3	Col4a3	ITGA2	Itga2
COL4A3	Col4a3	ITGAV	Itgav
COL4A3	Col4a3	ITGB1	Itgb1
COL4A4	Col4a4	CD47	Cd47
COL4A4	Col4a4	CD93	Cd93
COL4A4	Col4a4	ITGA1	Itga1
COL4A4	Col4a4	ITGA2	Itga2
COL4A4	Col4a4	ITGAV	Itgav
COL4A4	Col4a4	ITGB1	Itgb1
COL4A5	Col4a5	CD47	Cd47
COL4A5	Col4a5	CD93	Cd93
COL4A5	Col4a5	ITGA1	Itga1
COL4A5	Col4a5	ITGA2	Itga2
COL4A5	Col4a5	ITGAV	Itgav
COL4A5	Col4a5	ITGB1	Itgb1
COL4A6	Col4a6	CD47	Cd47
COL4A6	Col4a6	CD93	Cd93
COL4A6	Col4a6	ITGA1	Itga1
COL4A6	Col4a6	ITGA2	Itga2
COL4A6	Col4a6	ITGAV	Itgav
COL4A6	Col4a6	ITGB1	Itgb1
COL5A1	Col5a1	ITGA1	Itga1
COL5A1	Col5a1	ITGB1	Itgb1
COL5A1	Col5a1	SDC3	Sdc3
COL5A2	Col5a2	DDR1	Ddr1
COL5A2	Col5a2	ITGA1	Itga1
COL5A2	Col5a2	ITGB1	Itgb1
COL5A3	Col5a3	SDC3	Sdc3
COL6A1	Col6a1	ITGA1	Itga1
COL6A1	Col6a1	ITGA2	Itga2
COL6A1	Col6a1	ITGA6	Itga6
COL6A1	Col6a1	ITGB1	Itgb1
COL6A2	Col6a2	ITGA1	Itga1
COL6A2	Col6a2	ITGA2	Itga2
COL6A2	Col6a2	ITGB1	Itgb1
COL6A3	Col6a3	ITGA1	Itga1
COL6A3	Col6a3	ITGA2	Itga2
COL6A3	Col6a3	ITGB1	Itgb1
