myAUC	avg_diff	power	pct.1	pct.2	gene	cluster
Sntb2	0.444	-0.510592708056618	0.112	0.123	0.23	Sntb2	cTEC
Nkain4	0.443	-0.562635445584464	0.114	0.039	0.154	Nkain4	cTEC
Nqo1	0.443	-0.509595922591788	0.114	0.136	0.247	Nqo1	cTEC
Pdlim2	0.443	-0.620531315977363	0.114	0.039	0.15	Pdlim2	cTEC
Arid1b	0.442	-0.54422829098875	0.116	0.194	0.301	Arid1b	cTEC
Snap91	0.441	-0.504920264228423	0.118	0.06	0.177	Snap91	cTEC
Atxn1	0.44	-0.551029795765646	0.12	0.105	0.219	Atxn1	cTEC
Flrt1	0.44	-0.585823834410127	0.12	0.034	0.153	Flrt1	cTEC
Ppp1r16b	0.44	-0.60237715550515	0.12	0.003	0.123	Ppp1r16b	cTEC
Cdc42se2	0.438	-0.535051367057898	0.124	0.223	0.324	Cdc42se2	cTEC
Ajuba	0.437	-0.530136130629133	0.126	0.115	0.235	Ajuba	cTEC
Tmem169	0.437	-0.598018371187606	0.126	0.037	0.161	Tmem169	cTEC
Dnajc12	0.435	-0.576649358353204	0.13	0.089	0.215	Dnajc12	cTEC
Tex10	0.435	-0.580058420886836	0.13	0.264	0.372	Tex10	cTEC
Dusp28	0.433	-0.556700934435665	0.134	0.107	0.238	Dusp28	cTEC
Itgb7	0.432	-0.602838888402849	0.136	0.068	0.199	Itgb7	cTEC
Mns1	0.431	-0.52409179556534	0.138	0.152	0.28	Mns1	cTEC
Rbp1	0.429	-0.536405349700124	0.142	0.115	0.258	Rbp1	cTEC
Cdh11	0.427	-0.616927031746975	0.146	0.071	0.216	Cdh11	cTEC
Ednrb	0.426	-0.560132660810035	0.148	0.068	0.218	Ednrb	cTEC
Cthrc1	0.423	-0.753515668422114	0.154	0.037	0.187	Cthrc1	cTEC
Ndrg3	0.423	-0.503243685584837	0.154	0.39	0.507	Ndrg3	cTEC
Phgdh	0.423	-0.511071661230193	0.154	0.304	0.418	Phgdh	cTEC
2010111I01Rik	0.422	-0.636846574258643	0.156	0.136	0.283	2010111I01Rik	cTEC
Cyth1	0.422	-0.601756500619541	0.156	0.123	0.271	Cyth1	cTEC
Slc22a7	0.422	-0.789948977850513	0.156	0.047	0.201	Slc22a7	cTEC
Enpp5	0.421	-0.623067799964415	0.158	0.126	0.276	Enpp5	cTEC
Igf1r	0.421	-0.558635963736959	0.158	0.304	0.438	Igf1r	cTEC
Ltbp3	0.421	-0.551849181700353	0.158	0.102	0.257	Ltbp3	cTEC
Ppp1r27	0.421	-1.26510379870286	0.158	0.065	0.217	Ppp1r27	cTEC
Spc25	0.421	-0.511132780358219	0.158	0.38	0.51	Spc25	cTEC
Ift74	0.419	-0.528740716469906	0.162	0.288	0.426	Ift74	cTEC
Umodl1	0.419	-0.888412329235025	0.162	0.01	0.172	Umodl1	cTEC
Jag2	0.418	-0.562014205687079	0.164	0.058	0.219	Jag2	cTEC
